Clave, Descripción,EXISTENCIAS GENERALES
TEEP114,"TEE PVC 1 1/2""",74
TEEP115,"TEE PVC 2""",182
TEEP116,"TEE PVC 3""",313
TEEP117,"TEE PVC 4""",379
TEEP585,"TEE PVC 4"" CON SALIDA 2""",194
TEEP118,"TEE PVC 6""",50
SIM15M,TRIPLAY 15MM 1.22X2.44,39
SIM16M,TRIPLAY 16MM 1.22X2.44,9
SIMB359,TRIPLAY 18MM 1.22X2.44,0
TUBC099,"TUBO CPVC 1"" 25 mm",17
TUBC103,"TUBO CPVC 1/2"" 13 mm",17
TUBC101,"TUBO CPVC 3/4"" 19 mm",0
TUBP1P,"TUBO PVC 1 1/2"" 38 mm",57
TUBP090,"TUBO PVC 2"" 50 mm",101
TUBP092,"TUBO PVC 3"" 75 mm",106
TUBP094,"TUBO PVC 4"" 100 mm",111
TUBP97,"TUBO PVC 6"" 150 mm",78
TUIN363,TUINO (MAS IVA),29
AREN298,VIAJE ARENA 14-M3 (MAS IVA),0
AREN296,VIAJE ARENA 7-M3 (MAS IVA),1
GRAV310,VIAJE GRAVA 14-M3 (MAS IVA),1
GRAV308,VIAJE GRAVA 6-M3 (MAS IVA),1
GRAV670,VIAJE GRAVILLA 14-M3 (MAS IVA),1
GRAV663,VIAJE GRAVILLA 6-M3 (MAS IVA),0
MAMP681,VIAJE MAMPOSTEO 14-M3 (MAS IVA),0
MAMP665,VIAJE MAMPOSTEO 6-M3 (MAS IVA),0
TEPE324,VIAJE TEPETATE 14-M3 (MAS IVA),0
TEPE320,VIAJE TEPETATE 6-M3 (MAS IVA),0
TEZT336,VIAJE TEZONTLE 14-M3 (MAS IVA),0
TEZT334,VIAJE TEZONTLE 6-M3 (MAS IVA),0
TPOM674,VIAJE TIERRA POMA 14-M3 (MAS IVA),0
TPOM344,VIAJE TIERRA POMA 6-M3 (MAS IVA),0
VITRO20,VITROBLOCK 20*20,19
YEEP119,"YEE PVC 1 1/2""",161
YEEP120,"YEE PVC 2""",201
YEEP121,"YEE PVC 3""",205
YEEP122,"YEE PVC 4""",234
YEEP123,"YEE PVC 6""",104
PALP252,ZAPA PICO TRUPER,34
